idhor;iddesserte;arriveetheorique;departtheorique;arrivee;depart;fiable;ts_maj;mnemoligne;nomligne;dest;codeparcours;ordre;mnemoarret;nomarret;numarret;coordonnees
268487224;269177089;2021-03-08T21:19:01+01:00;2021-03-08T21:19:01+01:00;2021-03-08T21:19:01+01:00;2021-03-08T21:19:01+01:00;T;2021-03-08T05:06:56+01:00;11;LAC MAINE <> STE GEMMES CL ANJOU;TEST NOIR;Rentrée L'Hoirie > CTB;0;LHOIRI-E;L'HOIRIE;7844;47.467078,-0.61832618
268487225;269177090;2021-03-08T21:38:00+01:00;2021-03-08T21:38:00+01:00;2021-03-08T21:38:00+01:00;2021-03-08T21:38:00+01:00;T;2021-03-08T05:06:56+01:00;11;LAC MAINE <> STE GEMMES CL ANJOU;TEST NOIR;Rentrée L'Hoirie > CTB;9400;RDCTB;DEPOT C T B;26006;47.495794,-0.56873426
268491811;270326273;2021-03-08T06:50:00+01:00;2021-03-08T06:50:00+01:00;2021-03-08T06:50:00+01:00;2021-03-08T06:50:00+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;PAS EN SERVICE;Sortie Voisin > Domaine du Val;0;DEP VOIS;DEPOT VOISIN;790167;47.474392,-0.34430627
268491817;270315525;2021-03-08T07:23:58+01:00;2021-03-08T07:23:58+01:00;2021-03-08T07:23:58+01:00;2021-03-08T07:23:58+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;1356;PISCJUIG;PISCINE C. MUFFAT;6185;47.534038,-0.61651686
268491827;270315535;2021-03-08T07:40:32+01:00;2021-03-08T07:40:32+01:00;2021-03-08T07:40:32+01:00;2021-03-08T07:40:32+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;9621;LECUIT;LECUIT;25536;47.489224,-0.56298423
268491829;270315537;2021-03-08T07:43:03+01:00;2021-03-08T07:43:03+01:00;2021-03-08T07:43:03+01:00;2021-03-08T07:43:03+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;10237;BARRA;BARRA;21480;47.483711,-0.56386577
268491832;270315540;2021-03-08T07:46:08+01:00;2021-03-08T07:46:08+01:00;2021-03-08T07:46:08+01:00;2021-03-08T07:46:08+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;10966;DESCAZEA;DESCAZEAUX;5599;47.477386,-0.5659243
268491834;270315542;2021-03-08T07:48:00+01:00;2021-03-08T07:48:00+01:00;2021-03-08T07:48:00+01:00;2021-03-08T07:48:00+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;11414;DUMESNIL;DUMESNIL;4581;47.473698,-0.56726326
268491838;270315546;2021-03-08T07:53:06+01:00;2021-03-08T07:53:06+01:00;2021-03-08T07:53:06+01:00;2021-03-08T07:53:06+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;12529;ACADEMIE;ACADEMIE;913399;47.467574,-0.55911098
268491841;270315549;2021-03-08T07:55:00+01:00;2021-03-08T07:55:00+01:00;2021-03-08T07:55:00+01:00;2021-03-08T07:55:00+01:00;T;2021-03-08T05:06:56+01:00;13;EXPRESS MONTREUIL <> GARES;LES GARES;DOMAINE DU VAL>LES GARES 9.0;13169;LESGARES;LES GARES;20210;47.465129,-0.55573935
