identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:3847:LOC;4 CANTONS STADE;68;4 CANTONS STADE;2021-03-08T19:30:00+01:00;2021-03-08T19:06:23+01:00;TRANSPOLE:ItemId::779381:LOC;4 CANTONS STADE/4 CANTONS STADE/2021-03-08T19:30:00.000+01:00
TRANSPOLE:StopPointRef:BP:3847:LOC;4 CANTONS STADE;Z8;4 CANTONS STADE;2021-03-08T20:00:00+01:00;2021-03-08T03:20:36+01:00;TRANSPOLE:ItemId::898450:LOC;4 CANTONS STADE/4 CANTONS STADE/2021-03-08T20:00:00.000+01:00
TRANSPOLE:StopPointRef:BP:3847:LOC;4 CANTONS STADE;68;4 CANTONS STADE;2021-03-08T20:30:00+01:00;2021-03-08T20:01:38+01:00;TRANSPOLE:ItemId::779399:LOC;4 CANTONS STADE/4 CANTONS STADE/2021-03-08T20:30:00.000+01:00
TRANSPOLE:StopPointRef:BP:3847:LOC;4 CANTONS STADE;Z8;4 CANTONS STADE;2021-03-08T21:00:00+01:00;2021-03-08T03:20:36+01:00;TRANSPOLE:ItemId::898461:LOC;4 CANTONS STADE/4 CANTONS STADE/2021-03-08T21:00:00.000+01:00
TRANSPOLE:StopPointRef:BP:3847:LOC;4 CANTONS STADE;Z8;4 CANTONS STADE;2021-03-08T21:40:00+01:00;2021-03-08T03:20:36+01:00;TRANSPOLE:ItemId::898472:LOC;4 CANTONS STADE/4 CANTONS STADE/2021-03-08T21:40:00.000+01:00
TRANSPOLE:StopPointRef:BP:8117:LOC;AEROPARC 2;68;4 CANTONS STADE;2021-03-08T19:46:40+01:00;2021-03-08T19:35:53+01:00;TRANSPOLE:ItemId::779389:LOC;4 CANTONS STADE/AEROPARC 2/2021-03-08T19:46:40.000+01:00
TRANSPOLE:StopPointRef:BP:8117:LOC;AEROPARC 2;68;4 CANTONS STADE;2021-03-08T20:41:52+01:00;2021-03-08T20:01:38+01:00;TRANSPOLE:ItemId::779407:LOC;4 CANTONS STADE/AEROPARC 2/2021-03-08T20:41:52.000+01:00
TRANSPOLE:StopPointRef:BP:2296:LOC;AGORA;66;4 CANTONS STADE;2021-03-08T19:22:58+01:00;2021-03-08T18:24:53+01:00;TRANSPOLE:ItemId::776936:LOC;4 CANTONS STADE/AGORA/2021-03-08T19:22:58.000+01:00
TRANSPOLE:StopPointRef:BP:2296:LOC;AGORA;66;4 CANTONS STADE;2021-03-08T20:32:35+01:00;2021-03-08T19:19:23+01:00;TRANSPOLE:ItemId::777497:LOC;4 CANTONS STADE/AGORA/2021-03-08T20:32:35.000+01:00
TRANSPOLE:StopPointRef:BP:4539:LOC;ANATOLE FRANCE;Z8;4 CANTONS STADE;2021-03-08T20:15:38+01:00;2021-03-08T20:14:23+01:00;TRANSPOLE:ItemId::898456:LOC;4 CANTONS STADE/ANATOLE FRANCE/2021-03-08T20:15:38.000+01:00
TRANSPOLE:StopPointRef:BP:4539:LOC;ANATOLE FRANCE;Z8;4 CANTONS STADE;2021-03-08T21:05:38+01:00;2021-03-08T19:55:08+01:00;TRANSPOLE:ItemId::898467:LOC;4 CANTONS STADE/ANATOLE FRANCE/2021-03-08T21:05:38.000+01:00
TRANSPOLE:StopPointRef:BP:4539:LOC;ANATOLE FRANCE;Z8;4 CANTONS STADE;2021-03-08T21:55:29+01:00;2021-03-08T03:20:36+01:00;TRANSPOLE:ItemId::898478:LOC;4 CANTONS STADE/ANATOLE FRANCE/2021-03-08T21:55:29.000+01:00
TRANSPOLE:StopPointRef:BP:329:LOC;BAISIEUX GARE;66;4 CANTONS STADE;2021-03-08T19:42:34+01:00;2021-03-08T19:28:06+01:00;TRANSPOLE:ItemId::776952:LOC;4 CANTONS STADE/BAISIEUX GARE/2021-03-08T19:42:34.000+01:00
TRANSPOLE:StopPointRef:BP:329:LOC;BAISIEUX GARE;66;4 CANTONS STADE;2021-03-08T20:51:09+01:00;2021-03-08T19:38:23+01:00;TRANSPOLE:ItemId::777513:LOC;4 CANTONS STADE/BAISIEUX GARE/2021-03-08T20:51:09.000+01:00
